Date;Open;High;Low;Close;Volume;Market Cap;symbol
May-09-2022;3.406.289.399.546.780;342.157.391;30.184.775.687.260.400;30.363.865.616.615.800;7.773.987.677.025.350;6.218.500.696.889.310;GOOG
May-10-2022;301.064.345.631.016;32.574.539.855.068.200;29.853.414.538.436.400;310.247.033;12.731.442.349.511.100;5.963.732.230.364.460;GOOG
May-11-2022;310.009.768;32.038.594.344.299.000;28.303.805.558.669.100;289.845.358;10.342.655.099.450.800;5.822.838.786.163.810;GOOG
May-12-2022;290.442.593;301.332.174;268.128.459;291.300.386;1,3785E+11;54.391.949.662.111.600;GOOG
May-13-2022;290.123.858;30.990.356.159.510.400;28.784.978;29.250.004;14.342.580.451.555.500;5.745.948.691.342.240;GOOG
May-14-2022;292.897.779;302.558.115;28.735.710.173.486.200;301.237.756;6.607.459.828.622.220;5.598.720.024.210.910;GOOG
May-15-2022;300.769.329;313.904.799;295.122.442;31.333.765.617.069.900;45.280.980.437.333.300;5.736.170.589.822.650;GOOG
May-16-2022;3.129.322.238.528.580;3.129.322.238.528.580;2.923.916.079.894.680;29.880.548.164.234.500;55.757.204.906.666.600;5.709.515.503.174.950;GOOG
May-17-2022;2.983.305.249.547.620;307.317.049;295.327.609;30.452.624.328.329.500;5.449.642.983.822.220;5.767.317.730.606.430;GOOG
May-18-2022;30.446.067.278.936.700;30.622.945.355.751.800;287.141.184;287.601.539;6.681.967.736.596.510;5.639.375.799.465.150;GOOG
May-19-2022;286.966.142;3.049.606.038.912.430;286.966.142;30.376.331.478.606.900;7.787.667.096.525.870;5.628.655.589.721.800;GOOG
May-20-2022;3.031.970.836.754.250;30.698.266.042.898.500;28.761.511.408.153.600;29.234.032.909.858.900;6.402.059.817.244.440;567830871551.01;GOOG
May-21-2022;29.205.287.516.253.300;2.959.357.411.058.410;289.924.553;29.449.985.559.922.300;48.647.341.319.111.100;5.589.285.669.619.480;GOOG
May-22-2022;29.445.062.122.180.000;304.268.779.609.496;2.924.677.654.664.080;3.036.604.222.096.170;34.792.840.362.666.600;5.675.741.036.183.660;GOOG
May-23-2022;30.295.927.741.628.200;30.619.925.588.456.100;2.888.700.372.215.650;29.114.081.131.154.400;4.909.190.799.788.150;573.306.612.491.278;GOOG
May-24-2022;2.909.633.018.763.280;297.944.733;2.874.997.892.772.600;296.741.123;61.173.457.223.111.100;5.583.788.436.382.280;GOOG
May-25-2022;296.545.966;302.014.321;29.382.542.394.489.500;29.557.533.735.644.300;59.054.062.151.111.100;5.669.576.926.882.790;GOOG
May-26-2022;295.545.432;298.688.204;2.814.343.486.121.560;29.353.619.262.832.500;67488629632;5.611.128.977.679.290;GOOG
May-27-2022;29194.91;2.935.766.681.488.950;28.291.035.137.326.700;2.860.647.447.261.680;7.970.959.139.555.550;5.505.457.237.462.870;GOOG
May-28-2022;2.860.561.108.816.130;29.144.959.374.974.900;2.854.315.570.935.080;29.047.060.268.766.700;52.117.457.770.666.600;5.504.034.599.989.200;GOOG
May-29-2022;29.031.307.367.141.700;29.530.422.914.976.600;288.555.589;294.457.241;29.084.438.122.666.600;5.552.257.256.321.530;GOOG
May-30-2022;294.680.772;318.826.501;2.931.942.997.636.930;317.200.295;50.971.087.599.888.100;5.832.484.237.886.270;GOOG
May-31-2022;317.342.022;32.298.417.520.862.500;31.242.241.101.424.000;3.185.283.438.318.990;7.022.778.719.288.880;6.042.487.984.736.740;GOOG
Jun-01-2022;3.177.999.955.446.580;31.945.459.415.006.100;29.490.850.881.285.500;2.978.942.113.357.090;640.999.783.010.807;5.921.422.416.172.380;GOOG
Jun-02-2022;2.979.517.499.385.390;30.614.120.551.257.100;29.628.060.046.270.300;3.044.146.505.023.020;7.216.475.923.911.110;5.725.955.012.302.690;GOOG
Jun-03-2022;3.046.194.853.738.790;30.648.679.796.976.100;2.935.370.494.799.070;2.971.755.804.641.600;53.726.854.599.111.100;5.715.307.874.322.440;GOOG
Jun-04-2022;2.970.577.615.194.850;2.992.782.369.537.740;294.752.174;29.840.075.215.941.400;39962044160;5.660.647.792.594.670;GOOG
Jun-05-2022;2.984.732.634.215.060;3.016.209.609.162.580;29.591.635.302.773.600;29.909.210.373.336.200;28.084.240.917.333.300;5.682.768.771.790.020;GOOG
Jun-06-2022;29.930.459.302.694.600;317.293.968.774.588;29.925.322.686.131.600;3.136.742.259.841.490;49.275.600.327.111.100;5.956.612.992.872.070;GOOG
Jun-07-2022;313.801.353;315.458.831;29.266.125;311.930.692;68097897088;5.721.557.724.448.040;GOOG
